,Source,SS,DF,MS,F,p-unc,np2,variable
0,region,27470805.25,1,27470805.25,16.74894547332421,0.0014921262387090316,0.582593385516187,count
1,Within,19681816.0,12,1640151.3333333333,,,,count
0,region,102567.60997630315,1,102567.60997630315,1.2117931465080145,0.2925688964411695,0.09172056609350575,intensity
1,Within,1015694.2406073408,12,84641.1867172784,,,,intensity
0,region,314.9549587359022,1,314.9549587359022,0.1432360160973148,0.7116954777779414,0.01179553917155512,area
1,Within,26386.23725937096,12,2198.85310494758,,,,area
